Key	S_bandwidth	S_DOS	S_total
mp-chhmi	0.097967778019433	0.5999245879081611	0.2770600398089683
mp-cpsal	0.84493614269158	0.5485270429914131	0.9526550478389668
mp-cleyh	0.8064535268264871	0.8488246641775271	0.9939420249757276
mp-dpe	-1.0	0.6940185482962521	0.0
mp-cdzay	-1.0	0.518041373003542	0.0
mp-rwn	-1.0	0.6626174892742851	0.0
mp-crfyp	0.202728924230144	0.7207730130947351	0.4978989339064746
mp-ckxzn	-1.0	0.678269809954826	0.0
mp-sub	-1.0	0.436825267445936	0.0
mp-bqxbg	0.142763660183598	0.6678089270863921	0.3689475083875414
mp-cdrni	-1.0	0.7118828328672081	0.0
mp-kzz	-1.0	0.322060872587544	0.0
mp-ohs	0.342009881039067	0.8486378302720431	0.8002968370888863
mp-crrce	-1.0	0.78540217015955	0.0
mp-gtc	-1.0	0.822218616160394	0.0
mp-bxiur	-1.0	0.591312775562124	0.0
mp-cdnsw	0.579251365026046	0.7008375547337341	0.9211683666304712
mp-ckvge	0.10815327133708	0.6229556403154041	0.298910237942556
mp-cpnxo	-1.0	0.6654960148084911	0.0
mp-crscd	-1.0	0.776558655371911	0.0
mp-crgbu	0.105243627761811	0.9698097971549732	0.3972741428315651
mp-beuan	0.80354924985519	0.552890767433975	0.9437734243007144
mp-cpiss	-1.0	0.8426041935151941	0.0
mp-cixai	-1.0	0.666403208976555	0.0
mp-bgtz	-1.0	0.5918153451229521	0.0
mp-cpjrr	-1.0	0.6128470620745841	0.0
mp-cfkdk	-1.0	0.710511506530016	0.0
mp-cpsgv	0.8487076546933361	0.583019836806938	0.9642154557428084
mp-bnqpd	-1.0	0.579265323940514	0.0
mp-oxb	-1.0	0.570608246040188	0.0
mp-bkpfd	-1.0	0.7011995435686551	0.0
mp-cpirx	-1.0	0.6203892561176091	0.0
mp-bdzz	-1.0	0.7909948501361771	0.0
mp-bgjdk	-1.0	0.6351319667077111	0.0
mp-ciscl	-1.0	0.8015503801903281	0.0
mp-erv	-1.0	0.60207316901048	0.0
mp-bmmau	0.34698617890575	0.877857879834752	0.8212973734823031
mp-cpnvg	-1.0	0.6526857392698341	0.0
mp-bgmne	-1.0	0.7654214641268741	0.0
mp-crqjv	-1.0	0.8218797795684921	0.0
mp-cewan	-1.0	0.6039564887090321	0.0
mp-ckwtr	-1.0	0.6876444498698631	0.0
mp-bqyj	0.053079287924368	0.8603362052114141	0.2649887182557977
mp-cdymo	-1.0	0.501283581112507	0.0
mp-cqpry	0.8905423659392311	0.8118358986505371	0.9958886086375608
mp-cjmsg	-1.0	0.5320572133483591	0.0
mp-cprdy	-1.0	0.54989350330801	0.0
mp-bkrby	-1.0	0.828154587856449	0.0
mp-bmmpk	-1.0	0.7546649871743181	0.0
mp-ckvda	0.284271977159522	0.5815005324193391	0.53904449210304
